id,anio,mes,lineaest,rev,largo,ancho,spmuestreo
1910551,19,10,55,1,4.5,3.6,g
1910561,19,10,56,1,4,3.5,g
1910611,19,10,61,1,4,3.5,g
1910621,19,10,62,1,4.2,3.5,g
1910621,19,10,62,1,4,3,g
1910761,19,10,76,1,4,3.5,g
1910811,19,10,81,1,5,3,g
1910851,19,10,85,1,5.5,4.4,g
1910111,19,10,11,1,4,3.1,g
1910122,19,10,12,2,3.8,3.2,g
1910132,19,10,13,2,4.2,3.2,g
1910142,19,10,14,2,3.2,3.2,g
1910152,19,10,15,2,3.3,4.2,g
1910162,19,10,16,2,3.5,4.2,g
1910222,19,10,22,2,4.3,4.7,g
1910242,19,10,24,2,3.7,4.7,g
1910512,19,10,51,2,3.4,4.4,g
1910552,19,10,55,2,3.6,4.3,g
1910562,19,10,56,2,4.2,4.1,g
1910612,19,10,61,2,3.3,4.1,g
1910622,19,10,62,2,3.6,4.2,g
1910642,19,10,64,2,4.2,3.7,g
1910722,19,10,72,2,3.5,4.2,g
1910732,19,10,73,2,3.2,3.9,g
1910752,19,10,75,2,3.5,4,g
1910762,19,10,76,2,4,4.5,g
19101012,19,10,101,2,3.7,4.3,g
1910113,19,10,11,3,4,3.10,g
1910123,19,10,12,3,3.2,4.10,g
1910133,19,10,13,3,3,4.10,g
1910143,19,10,14,3,3.6,4.10,g
1910153,19,10,15,3,3.6,4.40,g
1910163,19,10,16,3,4.5,3.90,g
1910263,19,10,26,3,4.8,3.90,g
1910413,19,10,41,3,4.4,3.60,g
1910423,19,10,42,3,3.8,3.00,g
1910433,19,10,43,3,3.8,3.10,g
1910443,19,10,44,3,4.5,3.80,g
1910453,19,10,45,3,4.1,3.20,g
1910463,19,10,46,3,4.1,3.60,g
1910513,19,10,51,3,4,3.70,g
1910523,19,10,52,3,3.2,3.50,g
1910533,19,10,53,3,3.6,4.20,g
1910543,19,10,54,3,4.1,3.50,g
1910553,19,10,55,3,4.1,3.40,g
1910563,19,10,56,3,4.2,3.90,g
1910613,19,10,61,3,4.1,4.00,g
1910623,19,10,62,3,4.5,4.00,g
1910633,19,10,63,3,4.1,3.20,g
1910643,19,10,64,3,4,3.30,g
1910653,19,10,65,3,4.3,3.80,g
1910663,19,10,66,3,4.5,3.90,g
1910713,19,10,71,3,3.8,3.10,g
1910733,19,10,73,3,4,3.70,g
1910743,19,10,74,3,4.1,3.70,g
1910753,19,10,75,3,4.2,4.00,g
1910763,19,10,76,3,4.5,4.00,g
1910813,19,10,81,3,4,3.50,g
1910823,19,10,82,3,4.2,5.00,c
19101013,19,10,101,3,4.1,3.60,g
204121,20,4,12,1,3.6,3.30,g
204121,20,4,12,1,4.1,3.60,g
204131,20,4,13,1,3.8,3.50,g
204131,20,4,13,1,4.2,3.50,g
204141,20,4,14,1,4.1,3.30,g
204141,20,4,14,1,4.1,3.50,g
204151,20,4,15,1,4,3.60,g
204151,20,4,15,1,4.5,4.00,g
204161,20,4,16,1,4,3.00,g
204161,20,4,16,1,3.8,2.50,g
204231,20,4,23,1,4.2,3.40,g
204251,20,4,25,1,4.8,4.4,g
204251,20,4,25,1,5,5.3,g
204261,20,4,26,1,3.5,3.50,g
204261,20,4,26,1,3.6,3.30,g
204411,20,4,41,1,2.8,2.10,g
204411,20,4,41,1,3.5,2.30,g
204421,20,4,42,1,4.5,4.70,g
204421,20,4,42,1,4.4,3.50,g
204431,20,4,43,1,3.7,4.00,g
204431,20,4,43,1,4.5,3.50,g
204441,20,4,44,1,4.3,3.70,g
204441,20,4,44,1,4.6,3.50,g
204451,20,4,45,1,4,3.60,g
204451,20,4,45,1,3.8,3.20,g
204461,20,4,46,1,4,3.70,g
204461,20,4,46,1,5.2,4.40,g
204511,20,4,51,1,3.1,2.80,g
204511,20,4,51,1,4.6,4.00,g
204521,20,4,52,1,5.6,4.20,g
204521,20,4,52,1,4.2,4.00,g
204531,20,4,53,1,3.8,3.00,g
204531,20,4,53,1,4.6,4.20,g
204541,20,4,54,1,4.3,3.90,g
204541,20,4,54,1,3.9,2.90,g
204551,20,4,55,1,4.1,4.40,g
204551,20,4,55,1,3.8,3.10,g
204561,20,4,56,1,6.2,6.40,g
204561,20,4,56,1,6.3,4.80,c
204611,20,4,61,1,3.9,3.10,g
204611,20,4,61,1,4,4.20,g
204621,20,4,62,1,4.3,3.70,g
204621,20,4,62,1,4.3,4.30,g
204631,20,4,63,1,4.4,3.30,g
204641,20,4,64,1,4.1,3.30,g
204641,20,4,64,1,4.3,3.00,g
204711,20,4,71,1,4.8,4.30,g
204711,20,4,71,1,3,3.80,g
204721,20,4,72,1,4.8,3.70,g
204721,20,4,72,1,4.7,3.10,g
204731,20,4,73,1,4.7,4.20,g
204731,20,4,73,1,5.2,3.50,g
204741,20,4,74,1,4.2,4.50,g
204741,20,4,74,1,5.5,4.10,g
204751,20,4,75,1,4.4,4.40,g
204751,20,4,75,1,4.3,3.80,g
204761,20,4,76,1,4.6,3.10,g
204761,20,4,76,1,4.4,3.30,g
204811,20,4,81,1,4.4,4.30,g
204811,20,4,81,1,4.5,3.90,g
204821,20,4,82,1,4.6,3.80,g
204821,20,4,82,1,5.8,5.00,g
2041011,20,4,101,1,4.8,3.70,g
2041011,20,4,101,1,4.5,3.80,g
2041021,20,4,102,1,4.4,3.20,g
2041021,20,4,102,1,4.6,3.80,g
2041031,20,4,103,1,4.7,4.30,g
2041031,20,4,103,1,5,4.20,g
2041041,20,4,104,1,3,2.70,g
2041051,20,4,105,1,5.4,4.10,g
2041051,20,4,105,1,4,3.10,g
204112,20,4,11,2,5.4,5.20,g
204112,20,4,11,2,5.7,5.00,g
204122,20,4,12,2,4.6,3.50,g
204122,20,4,12,2,4.3,3.00,g
204132,20,4,13,2,4.1,2.60,g
204132,20,4,13,2,4.6,4.00,g
204142,20,4,14,2,4.6,3.70,g
204152,20,4,15,2,5.1,5.00,g
204152,20,4,15,2,5.1,4.70,g
204162,20,4,16,2,5.8,5.40,g
204162,20,4,16,2,4.9,4.60,g
204212,20,4,21,2,4.8,3.50,g
204212,20,4,21,2,4.6,3.10,g
204222,20,4,22,2,5.1,4.30,g
204222,20,4,22,2,4.2,3.60,g
204232,20,4,23,2,5.1,3.70,g
204232,20,4,23,2,4.7,4.30,g
204252,20,4,25,2,4.6,4.40,g
204252,20,4,25,2,5.4,4.40,g
204262,20,4,26,2,4.3,3.80,g
204262,20,4,26,2,3.3,2.40,g
204412,20,4,41,2,3.4,3.20,g
204412,20,4,41,2,3.8,3.30,g
204422,20,4,42,2,4.4,3.60,g
204422,20,4,42,2,4.5,3.60,g
204432,20,4,43,2,3.7,3.90,g
204432,20,4,43,2,4.4,3.70,g
204442,20,4,44,2,3.9,3.60,g
204442,20,4,44,2,4.1,3.60,g
204452,20,4,45,2,4.5,3.70,g
204452,20,4,45,2,5.5,4.90,g
204462,20,4,46,2,4.2,3.80,g
204462,20,4,46,2,3.1,2.70,g
204512,20,4,51,2,3.7,3.10,g
204512,20,4,51,2,3,2.10,g
204522,20,4,52,2,3.1,3.20,g
204522,20,4,52,2,4.5,4.20,g
204532,20,4,53,2,3.4,2.60,g
204532,20,4,53,2,2.6,2.70,g
204542,20,4,54,2,3.7,3.20,g
204542,20,4,54,2,4.3,3.10,g
204552,20,4,55,2,4.2,3.50,g
204552,20,4,55,2,3.9,3.50,g
204562,20,4,56,2,4.5,3.20,g
204562,20,4,56,2,4,4.10,g
204612,20,4,61,2,4.2,3.40,g
204612,20,4,61,2,3.3,3.70,g
204622,20,4,62,2,4.5,4.80,g
204622,20,4,62,2,3.9,5.60,g
204632,20,4,63,2,4.2,3.90,g
204632,20,4,63,2,3.4,3.00,g
204642,20,4,64,2,3.4,3.00,g
204642,20,4,64,2,3.2,3.00,g
204652,20,4,65,2,4.4,3.40,g
204652,20,4,65,2,4.1,3.10,g
204712,20,4,71,2,4.4,3.30,g
204712,20,4,71,2,5,4.00,g
204722,20,4,72,2,3.8,3.80,g
204722,20,4,72,2,4.6,4.00,g
204732,20,4,73,2,5,3.40,g
204732,20,4,73,2,4.6,4.40,g
204742,20,4,74,2,5,3.40,g
204742,20,4,74,2,4.7,4.20,g
204752,20,4,75,2,3.5,3.00,g
204752,20,4,75,2,3.2,3.20,g
204762,20,4,76,2,3.9,3.50,g
204762,20,4,76,2,4,4.20,g
204812,20,4,81,2,4.7,4.20,g
204812,20,4,81,2,4.6,3.80,g
204822,20,4,82,2,4.6,3.50,g
204822,20,4,82,2,3,2.50,g
2041012,20,4,101,2,5.2,3.80,g
2041012,20,4,101,2,4.3,3.70,g
2041022,20,4,102,2,4.8,3.90,g
2041022,20,4,102,2,3.6,3.50,g
2041032,20,4,103,2,5.6,4.50,g
2041032,20,4,103,2,4.4,3.40,g
2041042,20,4,104,2,4.1,3.30,g
2041042,20,4,104,2,3.8,4.40,g
2041052,20,4,105,2,4.2,3.50,g
2041052,20,4,105,2,4.1,3.10,g
2041062,20,4,106,2,4.5,3.50,g
2041062,20,4,106,2,4,5.90,g
204123,20,4,12,3,3.9,3.70,g
204123,20,4,12,3,3.4,2.40,g
204133,20,4,13,3,4.7,3.10,g
204133,20,4,13,3,3.7,2.90,g
204143,20,4,14,3,3.8,2.60,g
204143,20,4,14,3,4,3.10,g
204153,20,4,15,3,4.1,3.50,g
204153,20,4,15,3,4.4,3.70,g
204163,20,4,16,3,3.9,3.40,g
204163,20,4,16,3,3,2.30,g
204213,20,4,21,3,4.2,4.00,g
204213,20,4,21,3,3.7,3.60,g
204223,20,4,22,3,3.6,3.60,g
204223,20,4,22,3,5,5.00,g
204233,20,4,23,3,4.3,4.00,g
204233,20,4,23,3,3.5,3.10,g
204243,20,4,24,3,4.7,3.80,g
204243,20,4,24,3,3.5,2.90,g
204253,20,4,25,3,4.4,4.30,g
204253,20,4,25,3,3.8,3.40,g
204263,20,4,26,3,4.3,3.50,g
204263,20,4,26,3,4.8,4.70,g
204413,20,4,41,3,3.7,3.50,g
204413,20,4,41,3,4,3.70,g
204423,20,4,42,3,4.6,4.00,g
204423,20,4,42,3,3.7,3.10,g
204433,20,4,43,3,3.3,2.80,g
204433,20,4,43,3,3.5,3.10,g
204443,20,4,44,3,3.7,3.30,g
204443,20,4,44,3,3.5,3.40,g
204453,20,4,45,3,4,3.10,g
204453,20,4,45,3,4,3.80,g
204463,20,4,46,3,3.2,3.40,g
204463,20,4,46,3,4,3.10,g
204513,20,4,51,3,3.8,2.70,g
204513,20,4,51,3,4,3.70,g
204523,20,4,52,3,3.8,3.70,g
204523,20,4,52,3,3.9,3.40,g
204533,20,4,53,3,3.6,3.40,g
204533,20,4,53,3,4.1,4.00,g
204543,20,4,54,3,4.1,3.50,g
204543,20,4,54,3,3.6,3.10,g
204553,20,4,55,3,3.6,3.50,g
204553,20,4,55,3,4,3.40,g
204563,20,4,56,3,3.8,3.50,g
204563,20,4,56,3,3.4,3.20,g
204613,20,4,61,3,4.3,3.80,g
204613,20,4,61,3,5.1,4.90,g
204623,20,4,62,3,4.7,4.30,g
204623,20,4,62,3,4.4,4.00,g
204633,20,4,63,3,5,4.00,g
204633,20,4,63,3,5,4.20,g
204643,20,4,64,3,4,3.00,g
204653,20,4,65,3,4.3,3.40,g
204653,20,4,65,3,4.3,3.00,g
204663,20,4,66,3,4.3,3.90,g
204663,20,4,66,3,4.5,3.30,g
204723,20,4,72,3,3.7,3.70,g
204723,20,4,72,3,3,2.00,g
204733,20,4,73,3,5.1,4.00,g
204733,20,4,73,3,5.3,3.80,g
204743,20,4,74,3,4.6,4.60,g
204743,20,4,74,3,4.3,4.20,g
204753,20,4,75,3,4.9,4.00,g
204753,20,4,75,3,3.8,3.80,g
204763,20,4,76,3,4.9,3.90,g
204763,20,4,76,3,5.2,4.20,g
204813,20,4,81,3,5.1,4.30,g
204813,20,4,81,3,5.2,4.30,g
204823,20,4,82,3,4.6,4.20,g
204823,20,4,82,3,5.1,4.60,g
204833,20,4,83,3,5.8,4.80,g
204833,20,4,83,3,4.2,3.80,g
204843,20,4,84,3,4.6,4.30,g
204843,20,4,84,3,4.6,3.80,g
204853,20,4,85,3,3.7,4.30,g
204853,20,4,85,3,5,3.60,g
204863,20,4,86,3,4.9,4.70,g
204863,20,4,86,3,4.1,4.00,g
2041013,20,4,101,3,4.4,4.00,g
2041013,20,4,101,3,5,3.90,g
2041023,20,4,102,3,3.2,3.10,g
2041023,20,4,102,3,4.2,3.20,g
2041033,20,4,103,3,4.5,4.30,g
2041033,20,4,103,3,4.3,3.60,g
2041043,20,4,104,3,4.6,3.50,g
2041053,20,4,105,3,4.2,3.70,g
2041053,20,4,105,3,3.7,3.20,g
2041063,20,4,106,3,4.6,3.90,g
2041063,20,4,106,3,3.7,3.60,g
209411,20,9,41,1,4.3,3.70,g
209421,20,9,42,1,4.5,3.80,g
209431,20,9,43,1,4.7,3.60,g
209441,20,9,44,1,4.8,3.50,g
209451,20,9,45,1,4.5,3.50,g
209461,20,9,46,1,4.6,3.70,g
209511,20,9,51,1,4.7,3.80,g
209521,20,9,52,1,4.8,3.80,g
209531,20,9,53,1,4.4,3.50,g
209541,20,9,54,1,4.7,3.70,g
209551,20,9,55,1,4.8,3.90,g
209561,20,9,56,1,4.7,3.80,g
209611,20,9,61,1,4.6,3.80,g
209621,20,9,62,1,4.5,3.60,g
209631,20,9,63,1,4.7,3.90,g
209641,20,9,64,1,4.9,3.70,g
209651,20,9,65,1,4.8,3.90,g
209811,20,9,81,1,4.7,3.90,g
209821,20,9,82,1,4.5,3.60,g
209831,20,9,83,1,4.1,4.50,g
209841,20,9,84,1,4.5,4.30,c
209112,20,9,11,2,4.4,3.5,g
209122,20,9,12,2,4.3,3.2,g
209132,20,9,13,2,4.4,3.3,g
209142,20,9,14,2,4.7,3.6,g
209152,20,9,15,2,4.5,3.4,g
209162,20,9,16,2,4.5,3.4,g
209212,20,9,21,2,4.5,3.6,g
209222,20,9,22,2,4.7,3.6,g
209232,20,9,23,2,4.5,3.6,g
209242,20,9,24,2,4.6,3.5,g
209252,20,9,25,2,4.5,3.6,g
209262,20,9,26,2,4.6,3.5,g
209412,20,9,41,2,4.6,3.6,g
209422,20,9,42,2,4.5,3.4,g
209432,20,9,43,2,4.5,3.6,g
209442,20,9,44,2,4.6,3.7,g
209452,20,9,45,2,4.7,3.8,g
209462,20,9,46,2,4.6,3.7,g
209512,20,9,51,2,4.6,3.4,g
209522,20,9,52,2,4.5,3.4,g
209532,20,9,53,2,4.6,3.7,g
209542,20,9,54,2,4.7,3.6,g
209552,20,9,55,2,4.6,3.6,g
209562,20,9,56,2,4.5,3.6,g
209612,20,9,61,2,4.6,3.5,g
209622,20,9,62,2,4.7,3.4,g
209632,20,9,63,2,4.5,3.6,g
209642,20,9,64,2,4.6,3.7,g
209652,20,9,65,2,4.4,3.5,g
209722,20,9,72,2,4.5,3.6,g
209732,20,9,73,2,4.4,3.5,g
209742,20,9,74,2,4.5,3.6,g
209752,20,9,75,2,4.6,3.7,g
209762,20,9,76,2,4.5,3.8,g
209812,20,9,81,2,4.3,3.4,g
209822,20,9,82,2,4.4,3.6,g
209832,20,9,83,2,4.5,3.8,g
209842,20,9,84,2,4.4,3.5,g
209852,20,9,85,2,4.7,3.8,g
209862,20,9,86,2,4.5,3.6,g
2091012,20,9,101,2,4.6,3.5,g
2091022,20,9,102,2,4.5,3.6,g
2091032,20,9,103,2,4.6,3.6,g
2091042,20,9,104,2,4.5,3.5,g
2091052,20,9,105,2,4.5,3.8,g
2091062,20,9,106,2,4.7,3.6,g
209113,20,9,11,3,4.6,3.7,g
209123,20,9,12,3,4.8,3.9,g
209133,20,9,13,3,4.9,3.9,g
209143,20,9,14,3,4.7,3.8,g
209153,20,9,15,3,4.9,3.9,g
209163,20,9,16,3,4.9,3.8,g
209213,20,9,21,3,4.3,3.4,g
209223,20,9,22,3,4.9,3.9,g
209233,20,9,23,3,4.8,3.8,g
209243,20,9,24,3,4.9,3.9,g
209253,20,9,25,3,4.8,3.7,g
209263,20,9,26,3,4.9,3.9,g
209413,20,9,41,3,4.8,3.9,g
209423,20,9,42,3,4.9,3.8,g
209433,20,9,43,3,4.7,3.7,g
209443,20,9,44,3,4.9,3.8,g
209453,20,9,45,3,4.9,3.9,g
209463,20,9,46,3,4.9,3.9,g
209513,20,9,51,3,4.8,3.8,g
209523,20,9,52,3,4.9,3.9,g
209533,20,9,53,3,4.7,3.6,g
209543,20,9,54,3,4.9,3.9,g
209553,20,9,55,3,4.8,3.7,g
209563,20,9,56,3,4.9,3.9,g
209613,20,9,61,3,4.9,3.8,g
209623,20,9,62,3,4.8,3.9,g
209633,20,9,63,3,4.7,3.8,g
209643,20,9,64,3,4.8,3.9,g
209653,20,9,65,3,4.9,3.9,g
209663,20,9,66,3,4.7,3.7,g
209723,20,9,72,3,4.9,3.9,g
209733,20,9,73,3,4.7,3.8,g
209743,20,9,74,3,4.9,3.9,g
209753,20,9,75,3,4.8,3.9,g
209763,20,9,76,3,4.7,3.6,g
209813,20,9,81,3,4.9,3.9,g
209823,20,9,82,3,4.8,3.7,g
209833,20,9,83,3,4.9,3.8,g
209843,20,9,84,3,6.1,5.1,g
209853,20,9,85,3,4.9,3.8,g
209863,20,9,86,3,4.8,3.8,g
2091013,20,9,101,3,4.7,3.7,g
2091023,20,9,102,3,4.9,3.9,g
2091033,20,9,103,3,4.8,3.7,g
2091043,20,9,104,3,4.9,3.9,g
2091053,20,9,105,3,4.7,3.6,g
2091063,20,9,106,3,4.8,3.9,g
